epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1176.17,0.68765,1.05155,0.45679,0.96699,0.9582,0.93948,0.95482,0.7563,0.9582,0.93948,0.95205,0.73433,0.80802,1.37082,0.48872,1.06643,0.0003566,0.0003566,0.0003566
85,1189.21,0.66653,1.04336,0.45266,0.96498,0.94254,0.94126,0.96666,0.76384,0.94254,0.94126,0.9612,0.73608,0.81175,1.42969,0.44445,1.09165,0.0003368,0.0003368,0.0003368
86,1202.91,0.66013,1.05994,0.44658,0.96282,0.95742,0.92154,0.95419,0.76222,0.95742,0.92154,0.95419,0.74174,0.81876,1.38227,0.46008,1.09432,0.000317,0.000317,0.000317
87,1218.03,0.66376,1.0487,0.45128,0.97222,0.94963,0.92728,0.95964,0.76739,0.94126,0.91938,0.95555,0.73993,0.80201,1.40184,0.44294,1.08341,0.0002972,0.0002972,0.0002972
88,1230.84,0.66544,1.02273,0.44483,0.95692,0.94153,0.95082,0.95998,0.77651,0.94153,0.95082,0.95998,0.7495,0.8048,1.38989,0.47461,1.07627,0.0002774,0.0002774,0.0002774
89,1247.34,0.66221,1.01532,0.42849,0.96558,0.94122,0.95082,0.97044,0.77132,0.94122,0.95082,0.96311,0.7486,0.80247,1.37556,0.44633,1.08708,0.0002576,0.0002576,0.0002576
90,1260.26,0.67177,1.06927,0.43672,0.9757,0.97431,0.93261,0.96702,0.77262,0.97431,0.93261,0.95993,0.74602,0.80819,1.41547,0.4294,1.08407,0.0002378,0.0002378,0.0002378
91,1274.81,0.58524,0.91671,0.34997,0.91833,0.95486,0.91803,0.95244,0.74874,0.95486,0.91803,0.95244,0.72643,0.81712,1.37962,0.45616,1.0932,0.000218,0.000218,0.000218
92,1291.33,0.5805,0.88818,0.32249,0.91752,0.95796,0.93392,0.96725,0.75338,0.95796,0.93392,0.96725,0.7381,0.80465,1.40031,0.42987,1.08908,0.0001982,0.0001982,0.0001982
93,1304.08,0.57426,0.89689,0.33175,0.9176,0.96313,0.94262,0.96011,0.77006,0.96313,0.94262,0.96011,0.74249,0.80132,1.38491,0.45116,1.08728,0.0001784,0.0001784,0.0001784
94,1317.34,0.57126,0.86475,0.31518,0.91088,0.97714,0.90984,0.95816,0.76863,0.97714,0.90984,0.95552,0.75555,0.77775,1.3668,0.45222,1.07361,0.0001586,0.0001586,0.0001586
95,1335.22,0.57465,0.88693,0.32231,0.92162,0.96401,0.91803,0.96272,0.75937,0.99568,0.87705,0.95379,0.74655,0.80052,1.41259,0.45214,1.08969,0.0001388,0.0001388,0.0001388
96,1348.3,0.55594,0.85884,0.30813,0.9041,0.97686,0.90984,0.96654,0.76473,0.97686,0.90984,0.96116,0.74655,0.79462,1.3871,0.44764,1.08242,0.000119,0.000119,0.000119
97,1361.11,0.5592,0.8587,0.30609,0.91349,0.95798,0.93426,0.96278,0.76454,0.94958,0.92618,0.95508,0.74688,0.786,1.41096,0.44079,1.08197,9.92e-05,9.92e-05,9.92e-05
98,1377.06,0.5571,0.8705,0.30633,0.90923,0.99113,0.91585,0.96647,0.77597,0.98227,0.90846,0.95621,0.74944,0.78221,1.41136,0.44104,1.08097,7.94e-05,7.94e-05,7.94e-05
99,1389.8,0.55446,0.85257,0.30625,0.91845,0.97884,0.90984,0.96794,0.77698,0.97884,0.90984,0.96248,0.74738,0.77727,1.38293,0.43963,1.07685,5.96e-05,5.96e-05,5.96e-05
100,1406.06,0.52951,0.85488,0.29459,0.88757,0.94221,0.93443,0.96748,0.77387,0.94221,0.93443,0.96188,0.7465,0.77938,1.36427,0.43413,1.07537,3.98e-05,3.98e-05,3.98e-05
